quote,author,tags,combined
"“it is a curious thought, but it is only when you see people looking ridiculous that you realize just how much you love them. ”","agatha christie,",['love'],"“it is a curious thought, but it is only when you see people looking ridiculous that you realize just how much you love them. ” - agatha christie, [love]"
“ø£ø¬ù…ù„ ø­ø¨ ù‡ùˆ ø§ù„ø°ùš ù†ø¹ø«ø± ø¹ù„ùšù‡ ø£ø«ù†ø§ø¡ ø¨ø­ø«ù†ø§ ø¹ù† ø´ùšø¡ ø¢ø®ø±”,ø£ø­ù„ø§ù… ù…ø³øªøºø§ù†ù…ùš,"['love', 'ø\xadø¨']","“ø£ø¬ù…ù„ ø­ø¨ ù‡ùˆ ø§ù„ø°ùš ù†ø¹ø«ø± ø¹ù„ùšù‡ ø£ø«ù†ø§ø¡ ø¨ø­ø«ù†ø§ ø¹ù† ø´ùšø¡ ø¢ø®ø±” - ø£ø­ù„ø§ù… ù…ø³øªøºø§ù†ù…ùš [love, ø­ø¨]"
"“basically, i have two speeds.... hostile or smart-aleck. your choice.”","james patterson,",['humor'],"“basically, i have two speeds.... hostile or smart-aleck. your choice.” - james patterson, [humor]"
"“make improvements, not excuses. seek respect, not attention.”","roy t. bennett,","['excuse', 'improvement', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'respect']","“make improvements, not excuses. seek respect, not attention.” - roy t. bennett, [excuse, improvement, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quote, inspirational-quotes, inspire, inspiring, life, life-and-living, life-lessons, life-philosophy, life-quotes, living, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, respect]"
“no. i can survive well enough on my ownâ€” if given the proper reading material.”,"sarah j. maas,","['reading', 'survival']","“no. i can survive well enough on my ownâ€” if given the proper reading material.” - sarah j. maas, [reading, survival]"
“all endings are also beginnings. we just don't know it at the time.”,"mitch albom,",['profound'],"“all endings are also beginnings. we just don't know it at the time.” - mitch albom, [profound]"
"“the chinese use two brush strokes to write the word 'crisis.' one brush stroke stands for danger; the other for opportunity. in a crisis, be aware of the danger--but recognize the opportunity.”",john f. kennedy,"['chinese', 'crisis', 'danger', 'inspirational', 'opportunity']","“the chinese use two brush strokes to write the word 'crisis.' one brush stroke stands for danger; the other for opportunity. in a crisis, be aware of the danger--but recognize the opportunity.” - john f. kennedy [chinese, crisis, danger, inspirational, opportunity]"
“don't panic.”,"douglas adams,","['h2g2', 'hitchhiker-s-guide', 'humor', 'panic']","“don't panic.” - douglas adams, [h2g2, hitchhiker-s-guide, humor, panic]"
"“for me, trees have always been the most penetrating preachers. i revere them when they live in tribes and families, in forests and groves. and even more i revere them when they stand alone. they are like lonely persons. not like hermits who have stolen away out of some weakness, but like great, solitary men, like beethoven and nietzsche. in their highest boughs the world rustles, their roots rest in infinity; but they do not lose themselves there, they struggle with all the force of their lives for one thing only: to fulfil themselves according to their own laws, to build up their own form, to represent themselves. nothing is holier, nothing is more exemplary than a beautiful, strong tree. when a tree is cut down and reveals its naked death-wound to the sun, one can read its whole history in the luminous, inscribed disk of its trunk: in the rings of its years, its scars, all the struggle, all the suffering, all the sickness, all the happiness and prosperity stand truly written, the narrow years and the luxurious years, the attacks withstood, the storms endured. and every young farmboy knows that the hardest and noblest wood has the narrowest rings, that high on the mountains and in continuing danger the most indestructible, the strongest, the ideal trees grow. trees are sanctuaries. whoever knows how to speak to them, whoever knows how to listen to them, can learn the truth. they do not preach learning and precepts, they preach, undeterred by particulars, the ancient law of life. a tree says: a kernel is hidden in me, a spark, a thought, i am life from eternal life. the attempt and the risk that the eternal mother took with me is unique, unique the form and veins of my skin, unique the smallest play of leaves in my branches and the smallest scar on my bark. i was made to form and reveal the eternal in my smallest special detail. a tree says: my strength is trust. i know nothing about my fathers, i know nothing about the thousand children that every year spring out of me. i live out the secret of my seed to the very end, and i care for nothing else. i trust that god is in me. i trust that my labor is holy. out of this trust i live. when we are stricken and cannot bear our lives any longer, then a tree has something to say to us: be still! be still! look at me! life is not easy, life is not difficult. those are childish thoughts. let god speak within you, and your thoughts will grow silent. you are anxious because your path leads away from mother and home. but every step and every day lead you back again to the mother. home is neither here nor there. home is within you, or home is nowhere at all. a longing to wander tears my heart when i hear trees rustling in the wind at evening. if one listens to them silently for a long time, this longing reveals its kernel, its meaning. it is not so much a matter of escaping from one's suffering, though it may seem to be so. it is a longing for home, for a memory of the mother, for new metaphors for life. it leads home. every path leads homeward, every step is birth, every step is death, every grave is mother. so the tree rustles in the evening, when we stand uneasy before our own childish thoughts: trees have long thoughts, long-breathing and restful, just as they have longer lives than ours. they are wiser than we are, as long as we do not listen to them. but when we have learned how to listen to trees, then the brevity and the quickness and the childlike hastiness of our thoughts achieve an incomparable joy. whoever has learned how to listen to trees no longer wants to be a tree. he wants to be nothing except what he is. that is home. that is happiness.”","herman hesse,","['eternity', 'fear', 'forests', 'history', 'holiness', 'home', 'life', 'longing', 'poet', 'roots', 'self-discovery', 'spirituality', 'strength', 'trees', 'trust']","“for me, trees have always been the most penetrating preachers. i revere them when they live in tribes and families, in forests and groves. and even more i revere them when they stand alone. they are like lonely persons. not like hermits who have stolen away out of some weakness, but like great, solitary men, like beethoven and nietzsche. in their highest boughs the world rustles, their roots rest in infinity; but they do not lose themselves there, they struggle with all the force of their lives for one thing only: to fulfil themselves according to their own laws, to build up their own form, to represent themselves. nothing is holier, nothing is more exemplary than a beautiful, strong tree. when a tree is cut down and reveals its naked death-wound to the sun, one can read its whole history in the luminous, inscribed disk of its trunk: in the rings of its years, its scars, all the struggle, all the suffering, all the sickness, all the happiness and prosperity stand truly written, the narrow years and the luxurious years, the attacks withstood, the storms endured. and every young farmboy knows that the hardest and noblest wood has the narrowest rings, that high on the mountains and in continuing danger the most indestructible, the strongest, the ideal trees grow. trees are sanctuaries. whoever knows how to speak to them, whoever knows how to listen to them, can learn the truth. they do not preach learning and precepts, they preach, undeterred by particulars, the ancient law of life. a tree says: a kernel is hidden in me, a spark, a thought, i am life from eternal life. the attempt and the risk that the eternal mother took with me is unique, unique the form and veins of my skin, unique the smallest play of leaves in my branches and the smallest scar on my bark. i was made to form and reveal the eternal in my smallest special detail. a tree says: my strength is trust. i know nothing about my fathers, i know nothing about the thousand children that every year spring out of me. i live out the secret of my seed to the very end, and i care for nothing else. i trust that god is in me. i trust that my labor is holy. out of this trust i live. when we are stricken and cannot bear our lives any longer, then a tree has something to say to us: be still! be still! look at me! life is not easy, life is not difficult. those are childish thoughts. let god speak within you, and your thoughts will grow silent. you are anxious because your path leads away from mother and home. but every step and every day lead you back again to the mother. home is neither here nor there. home is within you, or home is nowhere at all. a longing to wander tears my heart when i hear trees rustling in the wind at evening. if one listens to them silently for a long time, this longing reveals its kernel, its meaning. it is not so much a matter of escaping from one's suffering, though it may seem to be so. it is a longing for home, for a memory of the mother, for new metaphors for life. it leads home. every path leads homeward, every step is birth, every step is death, every grave is mother. so the tree rustles in the evening, when we stand uneasy before our own childish thoughts: trees have long thoughts, long-breathing and restful, just as they have longer lives than ours. they are wiser than we are, as long as we do not listen to them. but when we have learned how to listen to trees, then the brevity and the quickness and the childlike hastiness of our thoughts achieve an incomparable joy. whoever has learned how to listen to trees no longer wants to be a tree. he wants to be nothing except what he is. that is home. that is happiness.” - herman hesse, [eternity, fear, forests, history, holiness, home, life, longing, poet, roots, self-discovery, spirituality, strength, trees, trust]"
“live to the point of tears.”,albert camus,"['life', 'living']","“live to the point of tears.” - albert camus [life, living]"
"“a good library will never be too neat, or too dusty, because somebody will always be in it, taking books off the shelves and staying up late reading them.”","lemony snicket,","['libraries', 'reading']","“a good library will never be too neat, or too dusty, because somebody will always be in it, taking books off the shelves and staying up late reading them.” - lemony snicket, [libraries, reading]"
"“when you stop expecting people to be perfect, you can like them for who they are.”","donald miller,","['expectations', 'people', 'perfection', 'relationships']","“when you stop expecting people to be perfect, you can like them for who they are.” - donald miller, [expectations, people, perfection, relationships]"
"“stories never really end...even if the books like to pretend they do. stories always go on. they don't end on the last page, any more than they begin on the first page.”","cornelia funke,",['inspirational'],"“stories never really end...even if the books like to pretend they do. stories always go on. they don't end on the last page, any more than they begin on the first page.” - cornelia funke, [inspirational]"
“why didn't i learn to treat everything like it was the last time. my greatest regret was how much i believed in the future.”,"jonathan safran foer,","['future', 'inspirational', 'life']","“why didn't i learn to treat everything like it was the last time. my greatest regret was how much i believed in the future.” - jonathan safran foer, [future, inspirational, life]"
"“to see a world in a grain of sand and a heaven in a wild flower, hold infinity in the palm of your hand and eternity in an hour.”","william blake,","['inspirational', 'wonder']","“to see a world in a grain of sand and a heaven in a wild flower, hold infinity in the palm of your hand and eternity in an hour.” - william blake, [inspirational, wonder]"
"“when the power of love overcomes the love of power, the world will know peace.”",jimi hendrix,"['hippy', 'love', 'misattributed', 'peace', 'william-gladstone']","“when the power of love overcomes the love of power, the world will know peace.” - jimi hendrix [hippy, love, misattributed, peace, william-gladstone]"
"“remember that wherever your heart is, there you will find your treasure.”","paulo coelho,","['confidence', 'honesty']","“remember that wherever your heart is, there you will find your treasure.” - paulo coelho, [confidence, honesty]"
"“after nourishment, shelter and companionship, stories are the thing we need most in the world.”",philip pullman,"['books', 'needs', 'stories', 'storytelling', 'writing']","“after nourishment, shelter and companionship, stories are the thing we need most in the world.” - philip pullman [books, needs, stories, storytelling, writing]"
“find what you love and let it kill you.”,charles bukowski,['love'],“find what you love and let it kill you.” - charles bukowski [love]
"“it was books that made me feel that perhaps i was not completely alone. they could be honest with me, and i with them.”","cassandra clare,",['will-herondale'],"“it was books that made me feel that perhaps i was not completely alone. they could be honest with me, and i with them.” - cassandra clare, [will-herondale]"
"“just because you call an electric eel a rubber duck doesn't make it a rubber duck, does it? and god help the poor bastard who decides they want to take a bath with the duckie. (jace wayland)”","cassandra clare,","['city-of-bones', 'humor', 'jace-wayland']","“just because you call an electric eel a rubber duck doesn't make it a rubber duck, does it? and god help the poor bastard who decides they want to take a bath with the duckie. (jace wayland)” - cassandra clare, [city-of-bones, humor, jace-wayland]"
"“life is to be enjoyed, not endured”",gordon b. hinckley,['life'],"“life is to be enjoyed, not endured” - gordon b. hinckley [life]"
“there is a stubbornness about me that never can bear to be frightened at the will of others. my courage always rises at every attempt to intimidate me.”,"jane austen,","['courage', 'dignity', 'elizabeth-bennet', 'empowerment', 'fear', 'independence', 'intimidation', 'self-determination', 'strength', 'stubbornness', 'women']","“there is a stubbornness about me that never can bear to be frightened at the will of others. my courage always rises at every attempt to intimidate me.” - jane austen, [courage, dignity, elizabeth-bennet, empowerment, fear, independence, intimidation, self-determination, strength, stubbornness, women]"
“let everything happen to youbeauty and terrorjust keep goingno feeling is final”,rainer maria rilke,"['enjoy-life', 'fearlessness', 'live-in-the-moment']","“let everything happen to youbeauty and terrorjust keep goingno feeling is final” - rainer maria rilke [enjoy-life, fearlessness, live-in-the-moment]"
“learn what is to be taken seriously and laugh at the rest.”,herman hesse,['steppenwolf'],“learn what is to be taken seriously and laugh at the rest.” - herman hesse [steppenwolf]
“it is the time you have wasted for your rose that makes your rose so important.”,"antoine de saint-exupã©ry,","['caring', 'inspirational', 'love', 'roses', 'time']","“it is the time you have wasted for your rose that makes your rose so important.” - antoine de saint-exupã©ry, [caring, inspirational, love, roses, time]"
“a classic is a book that has never finished saying what it has to say.”,"italo calvino,","['books', 'classics', 'literature', 'meaning', 'reading', 'words']","“a classic is a book that has never finished saying what it has to say.” - italo calvino, [books, classics, literature, meaning, reading, words]"
"“a book, too, can be a star, a living fire to lighten the darkness, leading out into the expanding universe.”",madeleine l'engle,"['books', 'fire', 'star', 'universe']","“a book, too, can be a star, a living fire to lighten the darkness, leading out into the expanding universe.” - madeleine l'engle [books, fire, star, universe]"
"“now, you two â€“ this year, you behave yourselves. if i get one more owl telling me you've â€“ you've blown up a toilet or â€“""""blown up a toilet? we've never blown up a toilet.""""great idea though, thanks, mum.”","j.k. rowling,","['fred-weasley', 'george-weasley', 'humor', 'molly-weasley', 'toilet']","“now, you two â€“ this year, you behave yourselves. if i get one more owl telling me you've â€“ you've blown up a toilet or â€“""""blown up a toilet? we've never blown up a toilet.""""great idea though, thanks, mum.” - j.k. rowling, [fred-weasley, george-weasley, humor, molly-weasley, toilet]"
“i go to seek a great perhaps.”,franã§ois rabelais,"['death', 'french-renaissance-writer', 'john-green', 'last-words', 'life', 'looking-for-alaska', 'meaning-of-life', 'miles-halter']","“i go to seek a great perhaps.” - franã§ois rabelais [death, french-renaissance-writer, john-green, last-words, life, looking-for-alaska, meaning-of-life, miles-halter]"
“what are men to rocks and mountains?”,"jane austen,","['men', 'mountains', 'rocks']","“what are men to rocks and mountains?” - jane austen, [men, mountains, rocks]"
"“you can't be happy unless you're unhappy sometimes"".”","lauren oliver,","['contrast', 'happiness', 'unhappiness']","“you can't be happy unless you're unhappy sometimes"".” - lauren oliver, [contrast, happiness, unhappiness]"
“the man of knowledge must be able not only to love his enemies but also to hate his friends.”,friedrich nietzsche,"['enemies', 'friends', 'friendship', 'hatred', 'intelligence', 'knowledge', 'love', 'wisdom']","“the man of knowledge must be able not only to love his enemies but also to hate his friends.” - friedrich nietzsche [enemies, friends, friendship, hatred, intelligence, knowledge, love, wisdom]"
"“if you obey all of the rules, you miss all of the fun.”",katharine hepburn,['katharine-hepburn'],"“if you obey all of the rules, you miss all of the fun.” - katharine hepburn [katharine-hepburn]"
"“dwell on the beauty of life. watch the stars, and see yourself running with them.”","marcus aurelius,","['appreciation', 'awe', 'beauty', 'life', 'optimism', 'positivity', 'sense-of-wonder', 'stars']","“dwell on the beauty of life. watch the stars, and see yourself running with them.” - marcus aurelius, [appreciation, awe, beauty, life, optimism, positivity, sense-of-wonder, stars]"
"“i am not sure that i exist, actually. i am all the writers that i have read, all the people that i have met, all the women that i have loved; all the cities i have visited.”",jorge luis borges,['life'],"“i am not sure that i exist, actually. i am all the writers that i have read, all the people that i have met, all the women that i have loved; all the cities i have visited.” - jorge luis borges [life]"
"“ah,â€� said a voice from the doorway, â€œhaving your annual â€˜everyone thinks will is a lunaticâ€™ meeting, are you? â€œitâ€™s biannual,â€� said jem. â€œand no, this is not that meeting.”","cassandra clare,","['clockwork-prince', 'will-herondale']","“ah,â€� said a voice from the doorway, â€œhaving your annual â€˜everyone thinks will is a lunaticâ€™ meeting, are you? â€œitâ€™s biannual,â€� said jem. â€œand no, this is not that meeting.” - cassandra clare, [clockwork-prince, will-herondale]"
"“if no one in the entire world cared about you, did you really exist at all?”","cassandra clare,","['tessa-gray', 'theresa-gray']","“if no one in the entire world cared about you, did you really exist at all?” - cassandra clare, [tessa-gray, theresa-gray]"
"“mom. i have something to tell you. iâ€™m undead. now, i know you may have some preconceived notions about the undead. i know you may not be comfortable with the idea of me being undead. but iâ€™m here to tell you that undead are just like you and me â€¦ well, okay. possibly more like me than you.”","cassandra clare,","['city-of-ashes', 'humor', 'mortal-instruments', 'simon', 'vampire']","“mom. i have something to tell you. iâ€™m undead. now, i know you may have some preconceived notions about the undead. i know you may not be comfortable with the idea of me being undead. but iâ€™m here to tell you that undead are just like you and me â€¦ well, okay. possibly more like me than you.” - cassandra clare, [city-of-ashes, humor, mortal-instruments, simon, vampire]"
“how vain it is to sit down to write when you have not stood up to live.”,henry david thoreau,['writing'],“how vain it is to sit down to write when you have not stood up to live.” - henry david thoreau [writing]
"“you're off to great places!today is your day!your mountain is waiting,so... get on your way!”","dr. seuss,",['inspirational'],"“you're off to great places!today is your day!your mountain is waiting,so... get on your way!” - dr. seuss, [inspirational]"
“history will be kind to me for i intend to write it.”,winston s. churchill,"['history', 'humor', 'writing']","“history will be kind to me for i intend to write it.” - winston s. churchill [history, humor, writing]"
"“hate the sin, love the sinner.”",mahatma gandhi,"['hate', 'love', 'religion', 'sin', 'sinners']","“hate the sin, love the sinner.” - mahatma gandhi [hate, love, religion, sin, sinners]"
"“i care for myself. the more solitary, the more friendless, the more unsustained i am, the more i will respect myself.”","charlotte brontã«,","['ataraxy', 'defiance', 'empowerment', 'independence', 'individuality', 'self-assurance', 'self-awareness', 'self-containment', 'self-determination', 'self-esteem', 'self-reliance', 'self-respect', 'self-sufficiency', 'self-trust', 'solitude']","“i care for myself. the more solitary, the more friendless, the more unsustained i am, the more i will respect myself.” - charlotte brontã«, [ataraxy, defiance, empowerment, independence, individuality, self-assurance, self-awareness, self-containment, self-determination, self-esteem, self-reliance, self-respect, self-sufficiency, self-trust, solitude]"
“judge a man by his questions rather than by his answers.”,voltaire,"['answers', 'man', 'questions', 'thinking']","“judge a man by his questions rather than by his answers.” - voltaire [answers, man, questions, thinking]"
“i lived in books more than i lived anywhere else.”,"neil gaiman,",['books'],"“i lived in books more than i lived anywhere else.” - neil gaiman, [books]"
"“holey? you have the the whole world of ear-related humor before you, you go for holey?”","j.k. rowling,",['humor'],"“holey? you have the the whole world of ear-related humor before you, you go for holey?” - j.k. rowling, [humor]"
"“i don't want to be at the mercy of my emotions. i want to use them, to enjoy them, and to dominate them.”","oscar wilde,","['emotions', 'mercy']","“i don't want to be at the mercy of my emotions. i want to use them, to enjoy them, and to dominate them.” - oscar wilde, [emotions, mercy]"
"“what is love? i have met in the streets a very poor young man who was in love. his hat was old, his coat worn, the water passed through his shoes and the stars through his soul”","victor hugo ,","['love', 'soul', 'stars']","“what is love? i have met in the streets a very poor young man who was in love. his hat was old, his coat worn, the water passed through his shoes and the stars through his soul” - victor hugo , [love, soul, stars]"
"“some birds are not meant to be caged, that's all. their feathers are too bright, their songs too sweet and wild. so you let them go, or when you open the cage to feed them they somehow fly out past you. and the part of you that knows it was wrong to imprison them in the first place rejoices, but still, the place where you live is that much more drab and empty for their departure.”","stephen king,","['birds', 'freedom', 'friends', 'friendship', 'letting-go']","“some birds are not meant to be caged, that's all. their feathers are too bright, their songs too sweet and wild. so you let them go, or when you open the cage to feed them they somehow fly out past you. and the part of you that knows it was wrong to imprison them in the first place rejoices, but still, the place where you live is that much more drab and empty for their departure.” - stephen king, [birds, freedom, friends, friendship, letting-go]"
“and that's the thing about people who mean everything they say. they think everyone else does too.”,"khaled hosseini,","['earnestness', 'gullibility', 'honesty']","“and that's the thing about people who mean everything they say. they think everyone else does too.” - khaled hosseini, [earnestness, gullibility, honesty]"
"“you see, cuckoos are parasites. they lay their eggs in other birds' nests. when the egg hatches, the baby cuckoo pushes the other baby birds out of the nest. the poor parent birds work themselves to death trying to find enough food to feed the enormous cuckoo child who has murdered their babies and taken their places.""""enormous?"" said jace. ""did you just call me fat?""""it was an analogy.""""i am not fat.”","cassandra clare,",['imposters'],"“you see, cuckoos are parasites. they lay their eggs in other birds' nests. when the egg hatches, the baby cuckoo pushes the other baby birds out of the nest. the poor parent birds work themselves to death trying to find enough food to feed the enormous cuckoo child who has murdered their babies and taken their places.""""enormous?"" said jace. ""did you just call me fat?""""it was an analogy.""""i am not fat.” - cassandra clare, [imposters]"
“learn to light a candle in the darkest moments of someoneâ€™s life. be the light that helps others see; it is what gives life its deepest significance.”,"roy t. bennett,","['giving', 'goals', 'goals-in-life', 'inspiration', 'inspirational', 'inspirational-quotes', 'learn', 'learning', 'life', 'life-quotes', 'light', 'light-and-darkness', 'living-life', 'meaning', 'meaning-of-life', 'meaningful', 'meaningful-life', 'wisdom', 'wise']","“learn to light a candle in the darkest moments of someoneâ€™s life. be the light that helps others see; it is what gives life its deepest significance.” - roy t. bennett, [giving, goals, goals-in-life, inspiration, inspirational, inspirational-quotes, learn, learning, life, life-quotes, light, light-and-darkness, living-life, meaning, meaning-of-life, meaningful, meaningful-life, wisdom, wise]"
"“well, nowif little by little you stop loving mei shall stop loving youlittle by littleif suddenly you forget medo not look for mefor i shall already have forgotten youif you think it long and mad the wind of banners that passes through my lifeand you decide to leave me at the shore of the heart where i have rootsrememberthat on that day, at that hour, i shall lift my armsand my roots will set off to seek another land”","pablo neruda,","['forgetting', 'heartbreak', 'inspirational', 'living', 'love', 'moving-on']","“well, nowif little by little you stop loving mei shall stop loving youlittle by littleif suddenly you forget medo not look for mefor i shall already have forgotten youif you think it long and mad the wind of banners that passes through my lifeand you decide to leave me at the shore of the heart where i have rootsrememberthat on that day, at that hour, i shall lift my armsand my roots will set off to seek another land” - pablo neruda, [forgetting, heartbreak, inspirational, living, love, moving-on]"
“sanity and happiness are an impossible combination.”,mark twain,"['happiness', 'sanity']","“sanity and happiness are an impossible combination.” - mark twain [happiness, sanity]"
"“we have to allow ourselves to be loved by the people who really love us, the people who really matter. too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! it's time to put an end to this. it's time for us to let ourselves be loved.”",c. joybell c.,"['growing', 'humanity', 'inspirational', 'inspirational-life', 'inspirational-love', 'inspirational-quotes', 'learning', 'life-and-living', 'life-lessons', 'love', 'people', 'real-love', 'reality', 'reality-of-life', 'those-who-love-us', 'to-be-loved', 'true-love', 'what-matters']","“we have to allow ourselves to be loved by the people who really love us, the people who really matter. too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! it's time to put an end to this. it's time for us to let ourselves be loved.” - c. joybell c. [growing, humanity, inspirational, inspirational-life, inspirational-love, inspirational-quotes, learning, life-and-living, life-lessons, love, people, real-love, reality, reality-of-life, those-who-love-us, to-be-loved, true-love, what-matters]"
"“people who claim that they're evil are usually no worse than the rest of us... it's people who claim that they're good, or any way better than the rest of us, that you have to be wary of.”","gregory maguire,","['evil', 'good']","“people who claim that they're evil are usually no worse than the rest of us... it's people who claim that they're good, or any way better than the rest of us, that you have to be wary of.” - gregory maguire, [evil, good]"
“the reason it hurts so much to separate is because our souls are connected.”,nicholas sparks,"['hurt', 'sad', 'seperate', 'soul']","“the reason it hurts so much to separate is because our souls are connected.” - nicholas sparks [hurt, sad, seperate, soul]"
"“you are imperfect, permanently and inevitably flawed. and you are beautiful.”",amy bloom,"['beauty', 'body-image', 'imperfections', 'self-acceptance']","“you are imperfect, permanently and inevitably flawed. and you are beautiful.” - amy bloom [beauty, body-image, imperfections, self-acceptance]"
“great spirits have always encountered violent opposition from mediocre minds.”,albert einstein,"['greatness', 'opposition', 'spirit']","“great spirits have always encountered violent opposition from mediocre minds.” - albert einstein [greatness, opposition, spirit]"
“he's a wallflower. you see things. you keep quiet about them. and you understand.”,"stephen chbosky,",['wallflower'],"“he's a wallflower. you see things. you keep quiet about them. and you understand.” - stephen chbosky, [wallflower]"
“the silence depressed me. it wasn't the silence of silence. it was my own silence.”,"sylvia plath,",['depression-silence'],"“the silence depressed me. it wasn't the silence of silence. it was my own silence.” - sylvia plath, [depression-silence]"
"“out of the corner of her eye she thought she saw jace shoot her a look of white rage - but when she glanced at him, he looked as he always did: easy, confident, slightly bored.""in future, clarissa,"" he said, ""it might be wise to mention that you already have a man in your bed, to avoid such tedious situations.""""you invited him into bed?"" simon demanded, looking shaken.""ridiculous, isn't it?"" said jace. ""we would never have all fit.""""i didn't invite him into bed,"" clary snapped. ""we were just kissing.""""just kissing?"" jace's tone mocked her with its false hurt. ""how swiftly you dismiss our love.”","cassandra clare,","['awkward', 'humor']","“out of the corner of her eye she thought she saw jace shoot her a look of white rage - but when she glanced at him, he looked as he always did: easy, confident, slightly bored.""in future, clarissa,"" he said, ""it might be wise to mention that you already have a man in your bed, to avoid such tedious situations.""""you invited him into bed?"" simon demanded, looking shaken.""ridiculous, isn't it?"" said jace. ""we would never have all fit.""""i didn't invite him into bed,"" clary snapped. ""we were just kissing.""""just kissing?"" jace's tone mocked her with its false hurt. ""how swiftly you dismiss our love.” - cassandra clare, [awkward, humor]"
“we are all atheists about most of the gods that humanity has ever believed in. some of us just go one god further.”,"richard dawkins,","['atheism', 'philosophy']","“we are all atheists about most of the gods that humanity has ever believed in. some of us just go one god further.” - richard dawkins, [atheism, philosophy]"
"“no matter how much suffering you went through, you never wanted to let go of those memories.”",haruki murakami,"['letting-go', 'life', 'life-lessons', 'memories']","“no matter how much suffering you went through, you never wanted to let go of those memories.” - haruki murakami [letting-go, life, life-lessons, memories]"
“many people lose the small joys in the hope for the big happiness.”,pearl s. buck,['contentment'],“many people lose the small joys in the hope for the big happiness.” - pearl s. buck [contentment]
"“all the world's a stage, and all the men and women merely players; they have their exits and their entrances; and one man in his time plays many parts, his acts being seven ages.”","william shakespeare,",['human-condition'],"“all the world's a stage, and all the men and women merely players; they have their exits and their entrances; and one man in his time plays many parts, his acts being seven ages.” - william shakespeare, [human-condition]"
“to burn with desire and keep quiet about it is the greatest punishment we can bring on ourselves.”,"federico garcã­a lorca,","['desire', 'punishment', 'unrequited-love']","“to burn with desire and keep quiet about it is the greatest punishment we can bring on ourselves.” - federico garcã­a lorca, [desire, punishment, unrequited-love]"
“usually i'm remarkably good natured. try me on a day that doesn't end in y.”,cassandra clare,"['jace', 'mortal-instruments']","“usually i'm remarkably good natured. try me on a day that doesn't end in y.” - cassandra clare [jace, mortal-instruments]"
“and i like large parties. theyâ€™re so intimate. at small parties there isnâ€™t any privacy.”,"f. scott fitzgerald,",['jordan-baker'],"“and i like large parties. theyâ€™re so intimate. at small parties there isnâ€™t any privacy.” - f. scott fitzgerald, [jordan-baker]"
“and so it goes...”,"kurt vonnegut,",['classics'],"“and so it goes...” - kurt vonnegut, [classics]"
"“don't say you don't have enough time. you have exactly the same number of hours per day that were given to helen keller, pasteur, michelangelo, mother teresa, leonardo da vinci, thomas jefferson, and albert einstein.”",h. jackson brown jr.,"['inspirational', 'life']","“don't say you don't have enough time. you have exactly the same number of hours per day that were given to helen keller, pasteur, michelangelo, mother teresa, leonardo da vinci, thomas jefferson, and albert einstein.” - h. jackson brown jr. [inspirational, life]"
"“there was a clatter as the basilisk fangs cascaded out of hermione's arms. running at ron, she flung them around his neck and kissed him full on the mouth. ron threw away the fangs and broomstick he was holding and responded with such enthusiasm that he lifted hermione off her feet. ""is this the moment?"" harry asked weakly, and when nothing happened except that ron and hermione gripped each other still more firmly and swayed on the spot, he raised his voice. ""oi! there's a war going on here!"" ron and hermione broke apart, their arms still around each other. ""i know, mate,"" said ron, who looked as though he had recently been hit on the back of the head with a bludger, ""so it's now or never, isn't it?"" ""never mind that, what about the horcrux?"" harry shouted. ""d'you think you could just --- just hold it in, until we've got the diadem?"" ""yeah --- right --- sorry ---"" said ron, and he and hermione set about gathering up fangs, both pink in the face.”","j.k. rowling,","['love', 'romance', 'war']","“there was a clatter as the basilisk fangs cascaded out of hermione's arms. running at ron, she flung them around his neck and kissed him full on the mouth. ron threw away the fangs and broomstick he was holding and responded with such enthusiasm that he lifted hermione off her feet. ""is this the moment?"" harry asked weakly, and when nothing happened except that ron and hermione gripped each other still more firmly and swayed on the spot, he raised his voice. ""oi! there's a war going on here!"" ron and hermione broke apart, their arms still around each other. ""i know, mate,"" said ron, who looked as though he had recently been hit on the back of the head with a bludger, ""so it's now or never, isn't it?"" ""never mind that, what about the horcrux?"" harry shouted. ""d'you think you could just --- just hold it in, until we've got the diadem?"" ""yeah --- right --- sorry ---"" said ron, and he and hermione set about gathering up fangs, both pink in the face.” - j.k. rowling, [love, romance, war]"
“nowadays people know the price of everything and the value of nothing.”,"oscar wilde,",['cynic'],"“nowadays people know the price of everything and the value of nothing.” - oscar wilde, [cynic]"
